,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-2.2,71,90,16.11,US,1610924826
1,new norfolk,6.6518,-10.5932,75.2,94,40,2.48,LR,1610924827
2,eravur,7.7733,81.6095,77.14,87,90,10.69,LK,1610924827
3,san luis,13.3034,-4.8956,72.54,19,90,9.89,ML,1610924680
4,butaritari,3.0707,172.7902,80.58,76,61,19.57,KI,1610924827
5,ushuaia,-54.8,-68.3,51.8,82,75,4.61,AR,1610924695
6,avarua,-21.2078,-159.775,86.0,66,20,9.22,CK,1610924603
7,beloha,-25.1667,45.05,74.07,80,100,3.74,MG,1610924827
8,busselton,-33.65,115.3333,70.0,58,19,4.0,AU,1610924828
9,cape town,-36.413,-71.9028,86.0,21,0,14.97,CL,1610924828
10,yulara,-25.2406,130.9889,69.8,24,0,11.5,AU,1610924672
11,jamestown,42.097,-79.2353,33.01,93,90,9.22,US,1610924768
12,tura,25.5198,90.2201,58.21,69,0,3.15,IN,1610924678
13,naze,28.3667,129.4833,50.0,81,40,10.36,JP,1610924828
14,albany,42.6001,-73.9662,37.99,79,100,1.01,US,1610924767
15,saint-philippe,-21.3585,55.7679,78.8,73,0,4.61,RE,1610924828
16,wellington,-41.2866,174.7756,66.2,48,0,24.16,NZ,1610924556
17,elat,29.5581,34.9482,60.8,51,40,6.91,IL,1610924829
18,pangnirtung,66.1451,-65.7125,-16.69,80,86,2.98,CA,1610924667
19,port moresby,-7.0349,29.7638,71.69,75,90,5.99,CD,1610924829
20,cherskiy,68.75,161.3,-32.69,83,92,2.3,RU,1610924829
21,tuktoyaktuk,69.4541,-133.0374,-4.0,84,90,9.22,CA,1610924830
22,hamilton,39.1834,-84.5333,34.0,86,90,6.91,US,1610924649
23,mar del plata,43.4002,-4.0094,52.0,100,90,4.61,ES,1610924830
24,castro,-24.7911,-50.0119,65.34,96,100,8.3,BR,1610924830
25,namibe,-15.1961,12.1522,73.13,76,96,10.36,AO,1610924830
26,aksu,41.1231,80.2644,10.76,87,0,2.15,CN,1610924830
27,saint-augustin,51.226,-58.6502,36.97,93,100,26.35,CA,1610924534
28,tiksi,71.6872,128.8694,-20.24,88,100,7.72,RU,1610924831
29,uruguaiana,-29.7547,-57.0883,73.4,60,0,8.05,BR,1610924831
30,kodiak,57.79,-152.4072,39.2,70,90,17.27,US,1610924831
31,zhanaozen,43.3,52.8,37.44,79,0,16.08,KZ,1610924832
32,hermanus,-34.4187,19.2345,66.0,81,6,4.0,ZA,1610924832
33,goderich,43.7501,-81.7165,32.0,93,100,4.61,CA,1610924832
34,gulu,2.7746,32.299,71.71,36,27,1.59,UG,1610924832
35,norman wells,35.2226,-97.4395,53.6,22,1,12.66,US,1610924773
36,kieta,-6.2167,155.6333,83.97,72,72,6.76,PG,1610924832
37,nishihara,26.1842,127.7558,59.0,50,75,4.61,JP,1610924833
